method,fold,cell_type,seed,layer,k_pc,R_full,MAE_full,R_residual,MAE_residual,deltaR_holdout,R_aida_full,R_aida_residual,deltaR_aida
geneformer_frozen_seed0,loco_onek1k,NK,0,8,50,0.2506,31.5843,0.1827,19.6193,-0.0679,0.0864,0.1228,0.0364
geneformer_frozen_seed0,loco_onek1k,NK,0,9,5,0.2635,30.6977,0.0325,20.4952,-0.2310,0.0445,0.0608,0.0163
geneformer_frozen_seed0,loco_onek1k,NK,0,9,10,0.2635,30.6977,0.1657,23.7392,-0.0978,0.0445,0.0845,0.0401
geneformer_frozen_seed0,loco_onek1k,NK,0,9,25,0.2635,30.6977,0.2004,49.1541,-0.0631,0.0445,0.0782,0.0337
geneformer_frozen_seed0,loco_onek1k,NK,0,9,50,0.2635,30.6977,0.1128,44.4941,-0.1507,0.0445,0.2314,0.1869
geneformer_frozen_seed0,loco_onek1k,NK,0,10,5,0.2521,21.1720,0.0482,20.1295,-0.2039,0.0133,-0.0481,-0.0614
geneformer_frozen_seed0,loco_onek1k,NK,0,10,10,0.2521,21.1720,0.0843,19.8741,-0.1677,0.0133,0.2306,0.2174
geneformer_frozen_seed0,loco_onek1k,NK,0,10,25,0.2521,21.1720,0.1604,19.7929,-0.0917,0.0133,-0.1009,-0.1142
geneformer_frozen_seed0,loco_onek1k,NK,0,10,50,0.2521,21.1720,0.2229,19.7707,-0.0292,0.0133,0.2691,0.2558
geneformer_frozen_seed0,loco_onek1k,NK,0,11,5,0.2510,17.4349,0.1974,19.4791,-0.0536,-0.0523,-0.1116,-0.0593
geneformer_frozen_seed0,loco_onek1k,NK,0,11,10,0.2510,17.4349,0.1097,19.6999,-0.1413,-0.0523,0.0442,0.0966
geneformer_frozen_seed0,loco_onek1k,NK,0,11,25,0.2510,17.4349,0.2271,22.0149,-0.0239,-0.0523,-0.0942,-0.0418
geneformer_frozen_seed0,loco_onek1k,NK,0,11,50,0.2510,17.4349,0.2628,22.1893,0.0118,-0.0523,0.1985,0.2508
geneformer_frozen_seed0,loco_onek1k,NK,0,12,5,0.2602,14.1272,0.1182,20.3518,-0.1420,0.0472,0.0065,-0.0407
geneformer_frozen_seed0,loco_onek1k,NK,0,12,10,0.2602,14.1272,0.2170,18.3463,-0.0432,0.0472,-0.0419,-0.0891
geneformer_frozen_seed0,loco_onek1k,NK,0,12,25,0.2602,14.1272,0.1483,18.9649,-0.1118,0.0472,-0.1848,-0.2320
geneformer_frozen_seed0,loco_onek1k,NK,0,12,50,0.2602,14.1272,0.1388,19.5256,-0.1214,0.0472,0.2616,0.2144
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,0,5,0.5256,12.1523,0.5134,13.8536,-0.0122,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,0,10,0.5256,12.1523,0.4653,14.1167,-0.0603,,,
geneformer_frozen_seed0,loco_terekhova,CD4+ T,0,0,25,0.5256,12.1523,0.3604,14.7923,-0.1651,,,
