method,cell_type,eval_cohort,fold,layer,seed,R,MAE,ci_lo,ci_hi,n_train,n_eval,notes
geneformer_rank16_lora_3seed_layer12,CD4+ T,aida,loco_onek1k,12.0000,,0.5599,8.3151,,,,,"rank-16 LoRA 3-seed mean (R_std=0.045, MAE_std=0.41)"
geneformer_rank16_lora_3seed_layer0,CD4+ T,onek1k,loco_onek1k,0.0000,,0.3422,28.4718,,,,,"rank-16 LoRA 3-seed mean (R_std=0.000, MAE_std=0.00)"
geneformer_rank16_lora_3seed_layer1,CD4+ T,onek1k,loco_onek1k,1.0000,,0.5102,28.0661,,,,,"rank-16 LoRA 3-seed mean (R_std=0.011, MAE_std=2.11)"
geneformer_rank16_lora_3seed_layer2,CD4+ T,onek1k,loco_onek1k,2.0000,,0.5321,20.8642,,,,,"rank-16 LoRA 3-seed mean (R_std=0.012, MAE_std=3.42)"
geneformer_rank16_lora_3seed_layer3,CD4+ T,onek1k,loco_onek1k,3.0000,,0.5653,12.9449,,,,,"rank-16 LoRA 3-seed mean (R_std=0.007, MAE_std=4.30)"
geneformer_rank16_lora_3seed_layer4,CD4+ T,onek1k,loco_onek1k,4.0000,,0.5466,16.1077,,,,,"rank-16 LoRA 3-seed mean (R_std=0.006, MAE_std=4.21)"
geneformer_rank16_lora_3seed_layer5,CD4+ T,onek1k,loco_onek1k,5.0000,,0.6157,14.1347,,,,,"rank-16 LoRA 3-seed mean (R_std=0.010, MAE_std=2.65)"
geneformer_rank16_lora_3seed_layer6,CD4+ T,onek1k,loco_onek1k,6.0000,,0.6320,10.8541,,,,,"rank-16 LoRA 3-seed mean (R_std=0.008, MAE_std=2.19)"
geneformer_rank16_lora_3seed_layer7,CD4+ T,onek1k,loco_onek1k,7.0000,,0.6288,12.4078,,,,,"rank-16 LoRA 3-seed mean (R_std=0.010, MAE_std=2.26)"
geneformer_rank16_lora_3seed_layer8,CD4+ T,onek1k,loco_onek1k,8.0000,,0.6246,16.9836,,,,,"rank-16 LoRA 3-seed mean (R_std=0.007, MAE_std=2.78)"
geneformer_rank16_lora_3seed_layer9,CD4+ T,onek1k,loco_onek1k,9.0000,,0.6208,16.5361,,,,,"rank-16 LoRA 3-seed mean (R_std=0.007, MAE_std=2.51)"
geneformer_rank16_lora_3seed_layer10,CD4+ T,onek1k,loco_onek1k,10.0000,,0.6248,14.7402,,,,,"rank-16 LoRA 3-seed mean (R_std=0.011, MAE_std=1.98)"
geneformer_rank16_lora_3seed_layer11,CD4+ T,onek1k,loco_onek1k,11.0000,,0.6148,16.6608,,,,,"rank-16 LoRA 3-seed mean (R_std=0.013, MAE_std=2.38)"
geneformer_rank16_lora_3seed_layer12,CD4+ T,onek1k,loco_onek1k,12.0000,,0.6082,11.1330,,,,,"rank-16 LoRA 3-seed mean (R_std=0.038, MAE_std=3.37)"
geneformer_rank32_lora_seed0_layer0,CD4+ T,onek1k,loco_onek1k,0.0000,0.0000,0.3422,28.4718,0.2838,0.3998,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer0,CD4+ T,aida,loco_onek1k,0.0000,0.0000,0.3165,10.7919,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer1,CD4+ T,onek1k,loco_onek1k,1.0000,0.0000,0.5057,27.2594,0.4593,0.5537,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer1,CD4+ T,aida,loco_onek1k,1.0000,0.0000,0.4770,9.1729,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer2,CD4+ T,onek1k,loco_onek1k,2.0000,0.0000,0.4710,31.9753,0.4244,0.5167,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer2,CD4+ T,aida,loco_onek1k,2.0000,0.0000,0.4943,8.3561,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer3,CD4+ T,onek1k,loco_onek1k,3.0000,0.0000,0.5386,22.4322,0.4935,0.5825,,,rank-32 single-seed
geneformer_rank32_lora_seed0_layer3,CD4+ T,aida,loco_onek1k,3.0000,0.0000,0.4335,8.7607,,,,,rank-32 single-seed AIDA cross-ancestry
geneformer_rank32_lora_seed0_layer4,CD4+ T,onek1k,loco_onek1k,4.0000,0.0000,0.5007,39.6569,0.4529,0.5497,,,rank-32 single-seed
