method,fold,cell_type,seed,layer,n_bootstraps,wins,win_rate,mean_cv_R,std_cv_R,kfold_cv_pick_d37,oracle_pick_d37,top1_layer,top1_win_rate,top2_layer,top2_win_rate,stability
geneformer_frozen_seed0,loco_terekhova,B,0,1,200,0,0.0000,0.3874,0.0249,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,2,200,1,0.0050,0.4351,0.0247,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,3,200,181,0.9050,0.4507,0.0231,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,4,200,3,0.0150,0.4416,0.0239,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,5,200,0,0.0000,0.4316,0.0236,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,6,200,0,0.0000,0.4143,0.0232,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,7,200,0,0.0000,0.3995,0.0229,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,8,200,0,0.0000,0.3811,0.0230,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,9,200,0,0.0000,0.3678,0.0235,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,10,200,0,0.0000,0.3666,0.0237,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,11,200,0,0.0000,0.3665,0.0236,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,B,0,12,200,15,0.0750,0.4356,0.0245,3,9,3,0.9050,12,0.0750,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,0,200,0,0.0000,0.3265,0.0238,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,1,200,0,0.0000,0.4609,0.0227,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,2,200,19,0.0950,0.4979,0.0228,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,3,200,181,0.9050,0.5036,0.0224,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,4,200,0,0.0000,0.4930,0.0227,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,5,200,0,0.0000,0.4827,0.0227,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,6,200,0,0.0000,0.4707,0.0230,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,7,200,0,0.0000,0.4603,0.0231,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,8,200,0,0.0000,0.4439,0.0230,2,2,3,0.9050,2,0.0950,robust
geneformer_frozen_seed0,loco_terekhova,NK,0,9,200,0,0.0000,0.4325,0.0231,2,2,3,0.9050,2,0.0950,robust
